class_index,class_name,source_train,classifier_train,classifier_val,detector_train,detector_calibration,official_val
0,05729_Plantae_Bryophyta_Bryopsida_Bryales_Bryaceae_Bryum_argenteum,300,255,10,30,5,10
1,05730_Plantae_Bryophyta_Bryopsida_Bryales_Bryaceae_Rhodobryum_ontariense,214,169,10,30,5,10
2,05731_Plantae_Bryophyta_Bryopsida_Bryales_Mniaceae_Leucolepis_acanthoneura,287,242,10,30,5,10
3,05732_Plantae_Bryophyta_Bryopsida_Bryales_Mniaceae_Plagiomnium_cuspidatum,273,228,10,30,5,10
4,05733_Plantae_Bryophyta_Bryopsida_Bryales_Mniaceae_Plagiomnium_insigne,228,183,10,30,5,10
5,05734_Plantae_Bryophyta_Bryopsida_Bryales_Mniaceae_Rhizomnium_glabrescens,224,179,10,30,5,10
6,05735_Plantae_Bryophyta_Bryopsida_Dicranales_Dicranaceae_Dicranum_scoparium,180,135,10,30,5,10
7,05736_Plantae_Bryophyta_Bryopsida_Dicranales_Ditrichaceae_Ceratodon_purpureus,157,112,10,30,5,10
8,05737_Plantae_Bryophyta_Bryopsida_Dicranales_Leucobryaceae_Leucobryum_glaucum,300,255,10,30,5,10
9,05738_Plantae_Bryophyta_Bryopsida_Funariales_Funariaceae_Funaria_hygrometrica,242,197,10,30,5,10
10,05739_Plantae_Bryophyta_Bryopsida_Funariales_Funariaceae_Physcomitrium_pyriforme,190,145,10,30,5,10
11,05740_Plantae_Bryophyta_Bryopsida_Grimmiales_Grimmiaceae_Grimmia_pulvinata,197,152,10,30,5,10
12,05741_Plantae_Bryophyta_Bryopsida_Grimmiales_Grimmiaceae_Racomitrium_lanuginosum,167,122,10,30,5,10
13,05742_Plantae_Bryophyta_Bryopsida_Hedwigiales_Hedwigiaceae_Hedwigia_ciliata,155,110,10,30,5,10
14,05743_Plantae_Bryophyta_Bryopsida_Hypnales_Anomodontaceae_Anomodon_attenuatus,205,160,10,30,5,10
15,05744_Plantae_Bryophyta_Bryopsida_Hypnales_Brachytheciaceae_Kindbergia_oregana,300,255,10,30,5,10
16,05745_Plantae_Bryophyta_Bryopsida_Hypnales_Hylocomiaceae_Hylocomium_splendens,300,255,10,30,5,10
17,05746_Plantae_Bryophyta_Bryopsida_Hypnales_Hylocomiaceae_Pleurozium_schreberi,300,255,10,30,5,10
18,05747_Plantae_Bryophyta_Bryopsida_Hypnales_Hylocomiaceae_Rhytidiadelphus_loreus,300,255,10,30,5,10
19,05748_Plantae_Bryophyta_Bryopsida_Hypnales_Hylocomiaceae_Rhytidiadelphus_squarrosus,188,143,10,30,5,10
20,05749_Plantae_Bryophyta_Bryopsida_Hypnales_Hylocomiaceae_Rhytidiadelphus_triquetrus,300,255,10,30,5,10
21,05750_Plantae_Bryophyta_Bryopsida_Hypnales_Hypnaceae_Hypnum_cupressiforme,300,255,10,30,5,10
22,05751_Plantae_Bryophyta_Bryopsida_Hypnales_Lembophyllaceae_Isothecium_stoloniferum,178,133,10,30,5,10
23,05752_Plantae_Bryophyta_Bryopsida_Hypnales_Leucodontaceae_Dendroalsia_abietina,300,255,10,30,5,10
24,05753_Plantae_Bryophyta_Bryopsida_Hypnales_Neckeraceae_Neckera_pennata,204,159,10,30,5,10
25,05754_Plantae_Bryophyta_Bryopsida_Hypnales_Plagiotheciaceae_Plagiothecium_undulatum,300,255,10,30,5,10
26,05755_Plantae_Bryophyta_Bryopsida_Hypnales_Pylaisiaceae_Ptilium_crista-castrensis,300,255,10,30,5,10
27,05756_Plantae_Bryophyta_Bryopsida_Hypnales_Thuidiaceae_Thuidium_delicatulum,300,255,10,30,5,10
28,05757_Plantae_Bryophyta_Bryopsida_Pottiales_Pottiaceae_Syntrichia_ruralis,239,194,10,30,5,10
29,05758_Plantae_Bryophyta_Bryopsida_Pottiales_Pottiaceae_Tortula_muralis,206,161,10,30,5,10
30,05759_Plantae_Bryophyta_Polytrichopsida_Polytrichales_Polytrichaceae_Dawsonia_superba,191,146,10,30,5,10
31,05760_Plantae_Bryophyta_Polytrichopsida_Polytrichales_Polytrichaceae_Polytrichum_commune,300,255,10,30,5,10
32,05761_Plantae_Bryophyta_Polytrichopsida_Polytrichales_Polytrichaceae_Polytrichum_juniperinum,300,255,10,30,5,10
33,05762_Plantae_Bryophyta_Polytrichopsida_Polytrichales_Polytrichaceae_Polytrichum_piliferum,278,233,10,30,5,10
34,05763_Plantae_Bryophyta_Sphagnopsida_Sphagnales_Sphagnaceae_Sphagnum_squarrosum,193,148,10,30,5,10
35,05764_Plantae_Chlorophyta_Ulvophyceae_Bryopsidales_Codiaceae_Codium_fragile,300,255,10,30,5,10
36,05765_Plantae_Chlorophyta_Ulvophyceae_Cladophorales_Cladophoraceae_Cladophora_columbiana,239,194,10,30,5,10
37,05766_Plantae_Chlorophyta_Ulvophyceae_Ulvales_Ulvaceae_Ulva_intestinalis,240,195,10,30,5,10
38,05767_Plantae_Chlorophyta_Ulvophyceae_Ulvales_Ulvaceae_Ulva_lactuca,300,255,10,30,5,10
39,05768_Plantae_Marchantiophyta_Jungermanniopsida_Jungermanniales_Lepidoziaceae_Bazzania_trilobata,297,252,10,30,5,10
40,05769_Plantae_Marchantiophyta_Jungermanniopsida_Porellales_Radulaceae_Radula_complanata,226,181,10,30,5,10
41,05770_Plantae_Marchantiophyta_Marchantiopsida_Lunulariales_Lunulariaceae_Lunularia_cruciata,300,255,10,30,5,10
42,05771_Plantae_Marchantiophyta_Marchantiopsida_Marchantiales_Conocephalaceae_Conocephalum_conicum,160,115,10,30,5,10
43,05772_Plantae_Marchantiophyta_Marchantiopsida_Marchantiales_Conocephalaceae_Conocephalum_salebrosum,300,255,10,30,5,10
44,05773_Plantae_Marchantiophyta_Marchantiopsida_Marchantiales_Marchantiaceae_Marchantia_polymorpha,300,255,10,30,5,10
45,05774_Plantae_Marchantiophyta_Marchantiopsida_Marchantiales_Rebouliaceae_Asterella_californica,188,143,10,30,5,10
46,05775_Plantae_Rhodophyta_Florideophyceae_Ceramiales_Rhodomelaceae_Neorhodomela_larix,226,181,10,30,5,10
47,05776_Plantae_Rhodophyta_Florideophyceae_Corallinales_Corallinaceae_Corallina_officinalis,256,211,10,30,5,10
48,05777_Plantae_Rhodophyta_Florideophyceae_Gigartinales_Endocladiaceae_Endocladia_muricata,269,224,10,30,5,10
